time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-08-14 13:11:20.942 UTC, ,125,2126621,3040,29344, , ,3, ,65,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,61,20, , , , , , , , , , , , , ,37967,4, ,31266, , , , ,38013,49064525824,42,42, , , , , ,5,391, , , , , , , , , , , , , , , , , , , , , , , , , ,38013, ,1534252280874, , , , ,2097150,37967, , ,28,0, , , ,2, , , ,3, , , , ,28, ,2048,1, , , ,1,170964,48, , , , , , ,434,2175,12,1479,145682504, , , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-08-14 13:11:21.328 UTC, ,1029,2268365,8928,170184, , ,10, ,498,2,0.00, , , , , , , ,10,10, , , ,1,7,10, ,348,109, , , , , , , , , , , , , ,37967,4, ,31266, , , , ,38013,49064525824,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38013, ,1534252280874, , , , ,2097150,55504, , ,113,10, ,202, ,3, , , ,3,57, , , ,113,1, , , , , , ,22975,116,17539,57, , , , , , , , ,154499304, , , , , , , ,755, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,58, ,10,66,30,66, , , , , , 
2018-08-14 13:11:21.967 UTC, ,125,3206125,4192,58480,1792, ,7,1,84,7,0.08, , , , , , , ,7,7, ,2,1,4,2,10, ,74,52, , , , , , , , , , , , , ,60839,5, ,55638, , , , ,60886,49064431616,29,29, , , , , ,8,648, , , , , , , , , , , , , , , , , , , , , , , , , ,60886, ,1534252281844, , , , ,3145728,60839, , ,69,0, , , ,3, , , ,3, , , , ,69,1,2048,1, , , ,2,247705,97, , , , , , ,436,2216,12,1479,191199392, , , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,9, , , , , , , , 
2018-08-14 13:12:21.971 UTC, ,10709,5575941,9968,2413344,6160, ,61, ,51452,5,0.00, , , , , , , ,61,22, , , ,25,36,19, ,14550,79, , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3503904,49057402880,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3503904, ,1534252281844, , , , ,3145728,3503874, , ,89,68, ,75, ,2,928, , ,3,2, , , ,89,1,446,3,4781,2, , ,29052,88,3438237,926, , , , ,42,424,28,9643,244692848, , , , , , , ,50018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4151, ,132,33065,7570,6282, , , , , , 
2018-08-14 13:13:21.980 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,231, , , , , , , , , ,63,24, , , ,25,38,21, ,35, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3507256,49057533952,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3507256, ,1534252281844, , , , ,3145728,3509297, , , ,12, ,15, , ,3, , ,3,2, , , , ,1, , ,60,1, , , , ,5363,2, , , , , , ,3,1357,221904160, , , , , , , ,172, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,28, , ,104,83,19, , , , , , 
2018-08-14 13:14:21.986 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,47, , , , , , , , , ,63,24, , , ,25,38,21, ,17, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3509327,49057210368,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3509327, ,1534252281844, , , , ,3145728,3511368, , , ,4, ,4, , ,1, , ,3,1, , , , ,1, , , , , , , , ,2071,1, , , , , , , , ,242153704, , , , , , , ,44, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,2,38,6,1, , , , , , 
2018-08-14 13:15:21.992 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,18, , , , , , , , , ,63,24, , , ,25,38,21, ,8, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3511398,49057210368,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3511398, ,1534252281844, , , , ,3145728,3511368, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,425,239113344, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,3, , , , , , , 
2018-08-14 13:16:22.012 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,22, , , , , , , , , ,63,24, , , ,25,38,21, ,7, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3513469,49057964032,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3513469, ,1534252281844, , , , ,3145728,3513439, , , ,16, ,16, , ,1, , ,3,1, , , , ,1, , , , , , , , ,2071,1, , , , , , , , ,248655944, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,14,3,1, , , , , , 
2018-08-14 13:17:22.018 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,12, , , , , , , , , ,63,24, , , ,25,38,21, ,6, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3513469,49057964032,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3513469, ,1534252281844, , , , ,3145728,3513439, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,513,220341464, , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2, , , , , , , 
2018-08-14 13:18:22.024 UTC, ,10709,5582205,10176,2419608,6160, ,63, ,6, , , , , , , , , ,63,24, , , ,25,38,21, ,3, , , , , , , , , , , , , , ,60839,5, ,55638, , , , ,3513469,49057964032,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3513469, ,1534252281844, , , , ,3145728,3513439, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,227039384, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
